0;1;2;3;4;5
 #Verificamos: É falso que Luciano Bivar seja presidente da administradora do DPVAT;O presidente da Seguradora Líder é Luciano Bivar do PSL e a vice presidente é a esposa de Gilmar Mendes. Explicada a volta do DPVAT;3;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/03/verificamos-bivar-dpvat/
 #Verificamos: É falso que Bolsonaro concluiu ponte ferroviária no Nordeste em 11 meses;A maior ponte ferroviária da América Latina, em 11 meses, o governo Bolsonaro finalizou uma obra iniciada em 2014 e parada por causa da corrupção;2;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/02/verificamos-bolsonaro-ponte-ferroviaria-nordeste-11-meses/
 #Verificamos: É falso que dependentes com deficiência perdem pensão por morte dos pais com reforma da Previdência;Então fica assim: deficientes não receberão pensão por morte dos pais (…);2;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/02/verificamos-dependentes-previdencia/
 #Verificamos: É falso que ‘marido de Marieta Severo’ ganhava R$ 91 mil na EBC;O diretor teatral [Aderbal Freire-Filho] tinha um salário de R$ 91 mil;4;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/04/verificamos-marido-marieta-severo-91-mil-ebc/
 #Verificamos: É falso que pastelaria de Volta Redonda foi fechada por vender produtos com carne de cachorro;Em volta redonda foi descoberto feito pastel com carne de CÃES. Absurdo!! Vamos eles bem famosos;3;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/03/verificamos-pastelaria-carne-cachorro/
 #Verificamos: Cedae confirma que interrompeu produção de água na ETA Guandu, no Rio de Janeiro;Nota da Cedae! Economizem água a partir de AMANHÃ!;3;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/03/verificamos-cedae-paralisar-abastecimento/
 #Verificamos: É falso que chá de erva-doce pode ser usado como tratamento contra o novo coronavírus;Orientações de prevenção ao corona vírus (sic). (…) Tomar chá de erva-doce duas vezes ao dia. O chá de erva-doce tem a mesma substância que o medicamento Tamiflu, o remédio usado para tratar a gripe A – H1N1;1;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/01/verificamos-coronavirus-erva-doce/
 #Verificamos: Maia não determinou fechamento da Esplanada dos Ministérios no dia 15 de março;Por ordem de Rodrigo Maia a esplanada dos ministérios será fechada ao público [no dia 15 de março];6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-maia-esplanada-ministerios/
 #Verificamos: É falso que higienizar as mãos com álcool gel influencia no teste do bafômetro;(…) o álcool gel utilizado na assepcia (sic) do coronavírus pode influenciar no teste do bafômetro (Lei Seca);6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/
 #Verificamos: Maia não disse que tem poder de acabar com manifestação contra o Congresso;Eu tenho poder de acabar com qualquer manifestação que atinja o Congresso Nacional, não teste minha paciência;6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-maia-manifestacao/
