0;1;2;3;4;5
 #Verificamos: É falso que Luciano Bivar seja presidente da administradora do DPVAT;presid segur der luci biv psl vic presid esp gilm mend explic volt dpvat;3;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/03/verificamos-bivar-dpvat/
 #Verificamos: É falso que Bolsonaro concluiu ponte ferroviária no Nordeste em 11 meses;mai pont ferrov ria am ric latin <number> mes govern bolsonar finaliz obr inici <number> par caus corrup;2;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/02/verificamos-bolsonaro-ponte-ferroviaria-nordeste-11-meses/
 #Verificamos: É falso que dependentes com deficiência perdem pensão por morte dos pais com reforma da Previdência;ent fic assim defici receb pem mort pal;2;1;2020;https://piaui.folha.uol.com.br/lupa/2020/01/02/verificamos-dependentes-previdencia/
 #Verificamos: É falso que ‘marido de Marieta Severo’ ganhava R$ 91 mil na EBC;dire teatr aderb fre filh sal rio money <number> mil;4;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/04/verificamos-marido-marieta-severo-91-mil-ebc/
 #Verificamos: É falso que pastelaria de Volta Redonda foi fechada por vender produtos com carne de cachorro;volt redond descobert feit pastel carn es absurd vam bem fam;3;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/03/verificamos-pastelaria-carne-cachorro/
 #Verificamos: Cedae confirma que interrompeu produção de água na ETA Guandu, no Rio de Janeiro;not ceda economiz gua part amanh;3;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/03/verificamos-cedae-paralisar-abastecimento/
 #Verificamos: É falso que chá de erva-doce pode ser usado como tratamento contra o novo coronavírus;orient es preven cor ru sic tom ch erv doc dua vez dia ch erv doc mesm subst nci medic tamiflu rem dio us trat grip h<number>n<number>;1;2;2020;https://piaui.folha.uol.com.br/lupa/2020/02/01/verificamos-coronavirus-erva-doce/
 #Verificamos: Maia não determinou fechamento da Esplanada dos Ministérios no dia 15 de março;ord rodrig mai esplan minist rio ser fech blic dia <number> mar;6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-maia-esplanada-ministerios/
 #Verificamos: É falso que higienizar as mãos com álcool gel influencia no teste do bafômetro;lcool gel utiliz assepc sic coronav ru pod influenci test baf metr lei sec;6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/
 #Verificamos: Maia não disse que tem poder de acabar com manifestação contra o Congresso;pod acab qualqu manifest atinj congress nacion test pac nci;6;3;2020;https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-maia-manifestacao/
